CHAVE;EMPRESA;ANO;MES;DATA;CLIENTE;DOC;PRODUTO;QTD;PRECO;VALOR;DESC;CAIXA;FORMA;TIPO;VENDEDOR;GRUPO;SUBGRUPO
;T CASA 01 - Matriz;2025;9;23/09/2025;VENDA CONSUMIDOR;9124;MESA QUADRADA NORONHA BRANCA;2;188,6;377,2;0;1;CARTÃO;CUPOM MANUAL;HC BARBOSA;MOVEIS/GABINETE/TOUC;MESA
;T CASA 01 - Matriz;2025;7;09/07/2025;LIDERANCA SERVICOS;11251;VERGALHAO ACO CA50 12M;9;41,9;377,1;0;;A PRAZO;NFDAV;HC VICENTE;BASICO/HIDRAULICA;MATERIAL BASICO
;T CASA 01 - Matriz;2025;4;15/04/2025;LIDER ENGENHARIA;9628;CURVA ESGOTO CURTA 90GR;13;29;377;0;;A PRAZO;NFDAV;HC ALLAN;BASICO/HIDRAULICA;CURVA
;T CASA 01 - Matriz;2025;4;09/04/2025;C.G.S COMERCIO;9535;MANGUEIRA JARDIM TRANCADA VD 30MTS;3;125,5;376,5;0;;CARTÃO;NFDAV;HC VICENTE;FERRAGENS/FECHADURAS;MANGUEIRA
;T CASA 01 - Matriz;2025;6;10/06/2025;PAROQUIA;3856;VERTEX LATEX AC.BRANCO NEVE - 18L 1600;2;188,14;376,28;14,16;1;BANCO;DAV;HC RENATO;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;8;29/08/2025;GM ENGENHARIA;12145;PREGO S/CABECA 16 X 21 (2X12) 1 KG;10;37,6;376;0;;A PRAZO;NFDAV;HC RENATO;FERRAGENS/FECHADURAS;PREGO
;T CASA 01 - Matriz;2025;10;20/10/2025;SETTE ENGENHARIA;13168;PREGO C.CABECA 16X21;10;37,6;376;0;;A PRAZO;NFDAV;HC RENATO;FERRAGENS/FECHADURAS;PREGO
;T CASA 01 - Matriz;2025;9;02/09/2025;MARINHO CONSTRUCOES;7887;VASO P/CX ACOP BCO EVORA;2;187,955;375,91;14,14;1;BANCO;DAV;HC RENATA;COZINHA/BANHEIROS;BACIA
;T CASA 01 - Matriz;2025;4;05/04/2025;VENDA CONSUMIDOR;3926;PALMEIRA ARECA REAL TOQUE X11 VERDE 1,7M;1;375,5;375,5;0;2;CARTÃO;CUPOM MANUAL;HC CESAR;UD/JARD/PRES/DECOR;ARRANJO FLORAL
;T CASA 01 - Matriz;2025;4;15/04/2025;LIDER ENGENHARIA;9649;BOTINA ELAST MODO RASPA S-B MOD 001;5;75;375;0;;A PRAZO;NFDAV;HC ALLAN;FERRAMENTA/MAQU/EPI;BOTA
;T CASA 01 - Matriz;2025;4;15/04/2025;LIDER ENGENHARIA;9649;BOTINA ELAST MODO RASPA S-B MOD 001;5;75;375;0;;A PRAZO;NFDAV;HC ALLAN;FERRAMENTA/MAQU/EPI;BOTA
;T CASA 01 - Matriz;2025;6;30/06/2025;LIDERANCA SERVICOS;11092;MOSQUETAO C.TRAVA 5X50MM;30;12,5;375;0;;A PRAZO;NFDAV;HC VICENTE;FERRAGENS/FECHADURAS;TRAVA
;T CASA 01 - Matriz;2025;7;23/07/2025;IBIS BELEM AEROPORTO;11501;ASSENTO SOFT - TPJ/AS BR1;10;37,5;375;0;;A PRAZO;NFDAV;HC ALLAN;COZINHA/BANHEIROS;ASSENTO
;T CASA 01 - Matriz;2025;8;20/08/2025;LIDER ENGENHARIA;11953;ASSENTO SOFT - TPJ/AS BR1;10;37,5;375;0;;A PRAZO;NFDAV;HC ALLAN;COZINHA/BANHEIROS;ASSENTO
;T CASA 01 - Matriz;2025;9;18/09/2025;COLEGIO NAZARE;12500;ASSENTO SOFT - TPJ/AS BR1;10;37,5;375;0;;A PRAZO;NFDAV;HC ALLAN;COZINHA/BANHEIROS;ASSENTO
;T CASA 01 - Matriz;2025;5;30/05/2025;SENENGE ENGENHARIA;10517;ADESIVO PVC 850G;5;74,9;374,5;0;;A PRAZO;NFDAV;HC ALLAN;QUIMICOS/ADESIVOS;ADESIVO
